sci_name|genus|subgenus|specific_epithet|subspecies|original_name_combination
Thylogale_stigmatica|Thylogale|NA|stigmatica|_T. s. coxenii_ (Gray, 1866) (synonyms: _gazella_ (De Vis, 1884)); _T. s. oriomo_ (Tate & Archbold, 1935); _T. s. stigmatica_ (Gould, 1861); _T. s. wilcoxi_ (McCoy, 1866) (synonyms: _temporalis_ (De Vis, 1884))|Halmaturus stigmaticus
Dorcopsis_luctuosa|Dorcopsis|NA|luctuosa|_D. l. luctuosa_ (D'Albertis, 1874) (synonyms: _beccarii_ Miklouho-Maclay, 1885, _chalmersii_ Miklouho-Maclay, 1885); _D. l. phyllis_ Groves & Flannery, 1989|Halmaturus luctuosus
Dorcopsis_muelleri|Dorcopsis|NA|muelleri|_D. m. lorentzii_ Jentink, 1909; _D. m. muelleri_ (Schlegel, 1866) (synonyms: _brunii_ (Schreber, 1777), _rufolateralis_ Rothschild & Rothschild, 1898); _D. m. mysoliae_ Thomas, 1913; _D. m. yapeni_ Groves & Flannery, 1989|Macropus Mülleri
Lagorchestes_conspicillatus|Lagorchestes|NA|conspicillatus|_L. c. conspicillatus_ Gould, 1842 (synonyms: _typicus_ Thomas, 1888); _L. c. leichardti_ Gould, 1853; _L. c. pallidior_ Thomas & Dollman, 1909|Lagorchestes conspicillatus
Lagorchestes_hirsutus|Lagorchestes|NA|hirsutus|_L. h. bernieri_ Thomas, 1907; _L. h. dorreae_ Thomas, 1907; _L. h. hirsutus_ Gould, 1844|Lagorchestes hirsutus
Macropus_fuliginosus|Macropus|NA|fuliginosus|_M. f. fuliginosus_ (Desmarest, 1817); _M. f. melanops_ Gould, 1842; _M. f. ocydromus_ Gould, 1842|Kangurus fuliginosus
Macropus_giganteus|Macropus|NA|giganteus|_M. g. giganteus_ Shaw, 1790 (synonyms: _griseofuscus_ (Goldfuss, 1819), _labiatus_ (Desmarest, 1817), _major_ Shaw, 1800, _tridactylus_ (Perry, 1811), _typicus_ Thomas, 1888); _M. g. tasmaniensis_ Le Souef, 1923|Macropus Giganteus
Notamacropus_agilis|Notamacropus|NA|agilis|_N. a. agilis_ (Gould, 1842) (synonyms: _aurescens_ (Schwarz, 1910)); _N. a. jardinii_ (De Vis, 1884); _N. a. nigrescens_ (Lönnberg, 1913); _N. a. papuanus_ (Peters & Doria, 1875) (synonyms: _aurantiacus_ (Rothschild & Rothschild, 1898), _crassipes_ (Ramsay, 1876)); _N. a. siva_ (De Vis, 1895) (fossil; synonyms: _stirtoni_ (Marcus, 1976))|Halmaturus agilis
Notamacropus_eugenii|Notamacropus|NA|eugenii|_N. e. decres_ (Troughton, 1941); _N. e. derbianus_ (Gray, 1837) (synonyms: _dama_ (Gould, 1844), _gracilis_ (Gould, 1844)); _N. e. eugenii_ (Desmarest, 1817) (synonyms: _flindersi_ (Wood Jones, 1924))|Kangurus Eugenii
Notamacropus_rufogriseus|Notamacropus|NA|rufogriseus|_N. r. banksianus_ (Quoy & Gaimard, 1824) (synonyms: _bennetti_ (Waterhouse, 1838)); _N. r. fruticus_ (Ogilby, 1838); _N. r. rufogriseus_ (Desmarest, 1817) (synonyms: _ruficollis_ (Desmarest, 1817), _typicus_ (Thomas, 1888))|Kangurus rufogriseus
