sci_name|genus|subgenus|specific_epithet|subspecies|original_name_combination
Myotis_keaysi|Myotis|Pizonyx|keaysi|NA|Myotis ruber keaysi
Myotis_keenii|Myotis|Pizonyx|keenii|NA|Vespertilio subulatus keenii
Myotis_laniger|Myotis|Myotis|laniger|NA|Vespertilio laniger
Myotis_larensis|Myotis|Pizonyx|larensis|NA|Myotis larensis
Myotis_lavali|Myotis|Pizonyx|lavali|NA|Myotis lavali
Myotis_leibii|Myotis|Pizonyx|leibii|NA|Vespertilio Leibii
Myotis_levis|Myotis|Pizonyx|levis|NA|Vespertilio levis
Myotis_longicaudatus|Myotis|Myotis|longicaudatus|_M. l. eniseensis_ Tsytsulina & Стрелков, 2001; _M. l. kaguyae_ Imaizumi, 1956; _M. l. longicaudatus_ Огнёв, 1927|Myotis longicaudatus
Myotis_longipes|Myotis|Myotis|longipes|NA|Vespertilio longipes
Myotis_lucifugus|Myotis|Pizonyx|lucifugus|_M. l. alascensis_ Miller, 1897; _M. l. carissimus_ Thomas, 1904 (synonyms: _albicinctus_ Allen, 1919, _altipetens_ Grinnell, 1916, _baileyi_ Hollister, 1909); _M. l. lucifugus_ (Le Conte, 1831) (synonyms: _affinis_ (Allen, 1864), _brevirostris_ (Wied-Neuwied, 1862), _carolii_ (Temminck, 1840), _crassus_ (Cuvier, 1832), _domesticus_ (Green, 1832), _gryphus_ (Cuvier, 1832), _lanceolatus_ (Wied-Neuwied, 1839), _salarii_ (Cuvier, 1832), _virginianus_ (Audubon & Bachman, 1841)); _M. l. pernox_ Hollister, 1911; _M. l. relictus_ Harris, 1974|Vespertilio lucifugus
Myotis_macrodactylus|Myotis|Myotis|macrodactylus|_M. m. continentalis_ Tiunov, 1997; _M. m. insularis_ Tiunov, 1997; _M. m. macrodactylus_ (Temminck, 1840)|Vespertilio macrodactylus
Myotis_macropus|Myotis|Myotis|macropus|NA|Vespertilio macropus
Myotis_macrotarsus|Myotis|Myotis|macrotarsus|_M. m. macrotarsus_ (Waterhouse, 1845); _M. m. saba_ Davis, 1962|Vespertilio macrotarsus
Myotis_martiniquensis|Myotis|Pizonyx|martiniquensis|NA|Myotis martiniquensis
Myotis_midastactus|Myotis|Pizonyx|midastactus|NA|Myotis midastactus
